session_id,user_id,name
u0_s0,u0,view_page
u0_s0,u0,add_to_cart
u0_s0,u0,view_cart
u1_s0,u1,view_page
u1_s0,u1,add_to_cart
u1_s0,u1,view_cart
u1_s0,u1,add_payment
u1_s1,u1,view_page
u1_s1,u1,add_to_cart
u1_s1,u1,add_payment
u2_s0,u2,view_page
u2_s0,u2,add_to_cart
u2_s0,u2,view_cart
u2_s0,u2,add_payment
u2_s1,u2,view_page
u2_s1,u2,add_to_cart
u2_s1,u2,view_cart
u2_s1,u2,add_payment
u2_s2,u2,view_page
u2_s2,u2,add_to_cart
u2_s2,u2,add_payment
u3_s0,u3,view_page
u3_s0,u3,view_cart
u3_s0,u3,add_payment
u3_s1,u3,view_page
u3_s1,u3,add_to_cart
u3_s1,u3,view_cart
u3_s1,u3,add_payment
u4_s0,u4,view_page
u4_s0,u4,add_to_cart
u4_s0,u4,view_cart
u4_s0,u4,add_payment
u5_s0,u5,view_page
u5_s0,u5,add_to_cart
u5_s0,u5,add_payment
u6_s0,u6,view_page
u6_s0,u6,add_to_cart
u6_s0,u6,view_cart
u6_s0,u6,add_payment
u6_s1,u6,view_page
u6_s1,u6,add_to_cart
u6_s1,u6,view_cart
u6_s1,u6,add_payment
u6_s2,u6,view_page
u6_s2,u6,add_to_cart
u6_s2,u6,add_payment
u6_s2,u6,place_order
u7_s0,u7,view_page
u7_s0,u7,add_to_cart
u7_s0,u7,view_cart
u7_s0,u7,add_payment
u7_s1,u7,view_page
u7_s1,u7,add_to_cart
u7_s1,u7,view_cart
u8_s0,u8,view_page
u8_s0,u8,add_to_cart
u8_s0,u8,view_cart
u8_s0,u8,add_payment
u9_s0,u9,view_page
u9_s0,u9,add_to_cart
u9_s0,u9,view_cart
u9_s0,u9,add_payment
u9_s1,u9,view_page
u9_s1,u9,add_to_cart
u9_s1,u9,view_cart
u9_s1,u9,add_payment
u9_s2,u9,view_page
u9_s2,u9,add_to_cart
u9_s2,u9,view_cart
u9_s2,u9,add_payment
u9_s2,u9,place_order
u10_s0,u10,view_page
u10_s0,u10,add_to_cart
u10_s0,u10,view_cart
u10_s0,u10,add_payment
u10_s1,u10,view_page
u10_s1,u10,add_to_cart
u10_s1,u10,view_cart
u10_s1,u10,add_payment
u11_s0,u11,view_page
u11_s0,u11,add_to_cart
u11_s0,u11,view_cart
u11_s1,u11,view_page
u11_s1,u11,add_to_cart
u11_s1,u11,view_cart
u11_s1,u11,add_payment
u11_s1,u11,place_order
u11_s2,u11,view_page
u11_s2,u11,add_to_cart
u11_s2,u11,add_payment
u12_s0,u12,view_page
u12_s0,u12,add_to_cart
u12_s0,u12,view_cart
u12_s0,u12,add_payment
u13_s0,u13,view_page
u13_s0,u13,add_to_cart
u13_s0,u13,view_cart
u13_s0,u13,add_payment
u13_s1,u13,view_page
u13_s1,u13,add_to_cart
u13_s1,u13,view_cart
u13_s1,u13,add_payment
u14_s0,u14,view_page
u14_s0,u14,add_to_cart
u14_s0,u14,view_cart
u14_s0,u14,add_payment
u14_s1,u14,view_page
u14_s1,u14,add_to_cart
u14_s1,u14,view_cart
u14_s1,u14,add_payment
u15_s0,u15,view_page
u15_s0,u15,view_cart
u15_s0,u15,add_payment
u15_s1,u15,view_page
u15_s1,u15,add_to_cart
u15_s1,u15,view_cart
u16_s0,u16,view_page
u16_s0,u16,add_to_cart
u16_s0,u16,view_cart
u17_s0,u17,view_page
u17_s0,u17,add_to_cart
u17_s0,u17,view_cart
u17_s0,u17,add_payment
u17_s1,u17,view_page
u17_s1,u17,add_to_cart
u17_s1,u17,view_cart
u17_s1,u17,add_payment
u18_s0,u18,view_page
u18_s0,u18,add_to_cart
u18_s0,u18,view_cart
u18_s0,u18,add_payment
u18_s1,u18,view_page
u18_s1,u18,add_to_cart
u18_s1,u18,view_cart
u18_s1,u18,add_payment
u19_s0,u19,view_page
u19_s0,u19,add_to_cart
u19_s0,u19,view_cart
u19_s0,u19,add_payment
u20_s0,u20,view_page
u20_s0,u20,add_to_cart
u20_s0,u20,view_cart
u20_s0,u20,add_payment
u20_s0,u20,place_order
u20_s1,u20,view_page
u20_s1,u20,add_to_cart
u20_s1,u20,view_cart
u20_s2,u20,view_page
u20_s2,u20,add_to_cart
u20_s2,u20,view_cart
u20_s2,u20,add_payment
u21_s0,u21,view_page
u21_s0,u21,view_cart
u21_s0,u21,add_payment
u21_s0,u21,place_order
u22_s0,u22,view_page
u22_s0,u22,add_to_cart
u22_s0,u22,add_payment
u22_s1,u22,view_page
u22_s1,u22,add_to_cart
u22_s1,u22,view_cart
u22_s1,u22,add_payment
u23_s0,u23,view_page
u23_s0,u23,view_cart
u23_s1,u23,view_page
u23_s1,u23,add_to_cart
u23_s1,u23,view_cart
u23_s1,u23,add_payment
u24_s0,u24,view_page
u24_s0,u24,add_to_cart
u24_s0,u24,view_cart
u24_s1,u24,view_page
u24_s1,u24,add_to_cart
u24_s1,u24,view_cart
u24_s1,u24,add_payment
u25_s0,u25,view_page
u25_s0,u25,add_to_cart
u25_s0,u25,view_cart
u25_s0,u25,add_payment
u25_s1,u25,view_page
u25_s1,u25,add_to_cart
u25_s1,u25,view_cart
u25_s1,u25,add_payment
u26_s0,u26,view_page
u26_s0,u26,add_to_cart
u26_s0,u26,view_cart
u26_s0,u26,add_payment
u27_s0,u27,view_page
u27_s0,u27,add_to_cart
u27_s0,u27,view_cart
u27_s0,u27,add_payment
u28_s0,u28,view_page
u28_s0,u28,add_to_cart
u28_s0,u28,view_cart
u28_s0,u28,add_payment
u28_s1,u28,view_page
u28_s1,u28,add_to_cart
u28_s1,u28,view_cart
u28_s1,u28,add_payment
u28_s2,u28,view_page
u28_s2,u28,add_payment
u29_s0,u29,view_page
u29_s0,u29,add_to_cart
u29_s0,u29,add_payment
u30_s0,u30,view_page
u30_s0,u30,add_to_cart
u30_s0,u30,view_cart
u30_s0,u30,add_payment
u30_s1,u30,view_page
u30_s1,u30,add_to_cart
u30_s1,u30,view_cart
u30_s1,u30,support_ticket
u31_s0,u31,view_page
u31_s0,u31,add_to_cart
u31_s0,u31,view_cart
u32_s0,u32,view_page
u32_s0,u32,add_to_cart
u32_s0,u32,view_cart
u32_s1,u32,view_page
u32_s1,u32,add_to_cart
u32_s1,u32,view_cart
u32_s1,u32,add_payment
u33_s0,u33,view_page
u33_s0,u33,add_payment
u33_s0,u33,place_order
u33_s1,u33,view_page
u33_s1,u33,add_to_cart
u33_s1,u33,view_cart
u34_s0,u34,view_page
u34_s0,u34,add_to_cart
u34_s0,u34,add_payment
u34_s0,u34,place_order
u34_s1,u34,view_page
u34_s1,u34,add_to_cart
u34_s2,u34,view_page
u34_s2,u34,add_to_cart
u34_s2,u34,view_cart
u34_s2,u34,add_payment
u35_s0,u35,view_page
u35_s0,u35,add_to_cart
u35_s0,u35,view_cart
u35_s0,u35,add_payment
u36_s0,u36,view_page
u36_s0,u36,add_to_cart
u36_s0,u36,view_cart
u36_s1,u36,view_page
u36_s1,u36,add_to_cart
u36_s1,u36,view_cart
u36_s1,u36,add_payment
u37_s0,u37,view_page
u37_s0,u37,add_to_cart
u37_s0,u37,view_cart
u37_s0,u37,add_payment
u37_s1,u37,view_page
u37_s1,u37,add_to_cart
u37_s1,u37,view_cart
u38_s0,u38,view_page
u38_s0,u38,add_to_cart
u38_s0,u38,view_cart
u38_s0,u38,add_payment
u39_s0,u39,view_page
u39_s0,u39,add_to_cart
u39_s0,u39,add_payment
u39_s0,u39,place_order
u39_s1,u39,view_page
u39_s1,u39,add_to_cart
u39_s1,u39,view_cart
u39_s1,u39,add_payment
u39_s2,u39,view_page
u39_s2,u39,add_to_cart
u39_s2,u39,view_cart
u39_s2,u39,add_payment
u40_s0,u40,view_page
u40_s0,u40,add_to_cart
u40_s0,u40,view_cart
u40_s0,u40,add_payment
u40_s1,u40,view_page
u40_s1,u40,add_to_cart
u40_s1,u40,view_cart
u40_s1,u40,add_payment
u41_s0,u41,view_page
u41_s0,u41,add_to_cart
u41_s0,u41,view_cart
u41_s0,u41,add_payment
u41_s1,u41,view_page
u41_s1,u41,add_to_cart
u41_s1,u41,view_cart
u41_s1,u41,add_payment
u41_s1,u41,place_order
u41_s2,u41,view_page
u41_s2,u41,add_to_cart
u41_s2,u41,view_cart
u41_s2,u41,add_payment
u41_s2,u41,place_order
u42_s0,u42,view_page
u42_s0,u42,add_to_cart
u42_s0,u42,view_cart
u42_s0,u42,add_payment
u43_s0,u43,view_page
u43_s0,u43,add_to_cart
u43_s0,u43,add_payment
u43_s1,u43,view_page
u43_s1,u43,add_to_cart
u43_s1,u43,add_payment
u43_s2,u43,view_page
u43_s2,u43,add_to_cart
u43_s2,u43,view_cart
u43_s2,u43,add_payment
u44_s0,u44,view_page
u44_s0,u44,add_to_cart
u44_s0,u44,view_cart
u44_s0,u44,add_payment
u45_s0,u45,view_page
u45_s0,u45,add_to_cart
u45_s0,u45,view_cart
u45_s0,u45,add_payment
u46_s0,u46,view_page
u46_s0,u46,add_to_cart
u46_s0,u46,view_cart
u46_s0,u46,add_payment
u46_s0,u46,place_order
u46_s1,u46,view_page
u46_s1,u46,add_to_cart
u46_s1,u46,view_cart
u46_s1,u46,add_payment
u46_s2,u46,view_page
u46_s2,u46,add_to_cart
u46_s2,u46,view_cart
u47_s0,u47,view_page
u47_s0,u47,add_to_cart
u47_s0,u47,view_cart
u47_s0,u47,add_payment
u48_s0,u48,view_page
u48_s0,u48,add_to_cart
u48_s0,u48,view_cart
u48_s0,u48,add_payment
u49_s0,u49,view_page
u49_s0,u49,add_to_cart
u49_s0,u49,view_cart
u49_s0,u49,add_payment
u49_s1,u49,view_page
u49_s1,u49,add_to_cart
u49_s1,u49,view_cart
u49_s1,u49,add_payment
u50_s0,u50,view_page
u50_s0,u50,add_to_cart
u50_s0,u50,view_cart
u50_s1,u50,view_page
u50_s1,u50,add_to_cart
u50_s1,u50,view_cart
u50_s1,u50,add_payment
u51_s0,u51,view_page
u51_s0,u51,add_to_cart
u51_s0,u51,view_cart
u51_s1,u51,view_page
u51_s1,u51,add_to_cart
u51_s1,u51,add_payment
u51_s2,u51,view_page
u51_s2,u51,add_to_cart
u51_s2,u51,add_payment
u51_s2,u51,place_order
u52_s0,u52,view_page
u52_s0,u52,view_cart
u52_s0,u52,add_payment
u53_s0,u53,view_page
u53_s0,u53,add_to_cart
u53_s0,u53,view_cart
u53_s0,u53,add_payment
u53_s1,u53,view_page
u53_s1,u53,add_to_cart
u53_s1,u53,view_cart
u53_s1,u53,add_payment
